,games,actions,category,gender,actions_per_game
AFCON2023,52,92384,national,male,1777
COPAM2024,32,57672,national,male,1802
EPL1516,380,758433,club,male,1996
EURO2020,51,112409,national,male,2204
EURO2024,51,109961,national,male,2156
FAWSL2021,131,253179,club,female,1933
FAWSL2324,132,278597,club,female,2111
FBUND2324,132,256898,club,female,1946
ISL2122,115,199259,club,male,1733
LALIGA1516,380,757310,club,male,1993
LIGAF2324,240,470334,club,female,1960
LIGUE1_1516,377,766071,club,male,2032
NWSL2023,137,257297,club,female,1878
SERIEA1516,380,761745,club,male,2005
SERIEAW2324,130,243718,club,female,1875
WC2018,64,128445,national,male,2007
WC2022,64,138905,national,male,2170
WEURO2022,31,61661,national,female,1989
WEURO2025,31,60374,national,female,1948
WWC2019,52,101569,national,female,1953
WWC2023,64,125642,national,female,1963
TOTAL,3026,5991863,—,—,1980
