,player_id,player_name,position,minutes,games,xt_total,xt_p90,vaep_total,vaep_p90,ga_total
xT,10386,Caroline Graham Hansen,Right Wing,1009,12,5.991932738025333,0.5344637724700495,9.3686632272624,0.835658761599223,15.0
xT,6945,Alex Sandro Lobo Silva,Left Wing Back,460,6,2.4796007782820553,0.4851392827073586,3.1153763421946206,0.6095301539076432,2.0
xT,4926,Francisco Román Alarcón Suárez,Substitute,303,6,1.6126581405121945,0.47900736846896863,2.010828498318908,0.5972757915798736,3.0
xT,32054,Jéssica da Silva,Right Center Forward,271,3,1.253413212215682,0.41626269040373204,-0.19129567475465592,-0.06352992888531009,0.0
xT,10418,Eve Perisset,Substitute,350,5,1.526419340695835,0.3925078304646433,1.35181845503347,0.34761045986574945,0.0
xT,23816,José Antonio Reyes Calderón,Right Wing,355,7,1.4407497373727358,0.36526049679872175,1.5737673338474707,0.3989832677359785,2.0
xT,123548,Estela Carbonell,Left Wing Back,295,4,1.1600825910405281,0.35392350235134756,1.339313511722139,0.4086041222203136,2.0
xT,13881,Eva Sofia Jakobsson,Left Wing,551,9,2.134735063634487,0.3486863080346712,1.4250410437831889,0.23276532475587475,2.0
xT,11386,Santiago Cazorla González,Right Defensive Midfield,314,4,1.2006748622211274,0.3441424764328072,1.4784021274385741,0.4237458327053238,0.0
xT,31532,Kirsty Hanson,Left Wing,503,6,1.8722026164141898,0.33498655164468605,4.0126853998954175,0.7179755188679674,6.0
xT,10374,Svenja Huth,Right Center Midfield,830,10,2.9965217982114436,0.3249240504084698,2.3886599526926875,0.25901132017149625,0.0
xT,5503,Lionel Andrés Messi Cuccittini,Right Wing,582,6,2.0592106756726736,0.31843464056793924,6.536932943506184,1.0108659190988942,9.0
xT,62710,Johanna Rytting-Kaneryd,Right Wing,983,14,3.450039483184429,0.31587340130884906,2.7794312337209703,0.2544748840639749,4.0
xT,4320,Neymar da Silva Santos Junior,Left Wing,369,4,1.2769963016827486,0.3114625126055484,1.2676579282919993,0.3091848605590242,4.0
xT,25729,Klara Bühl,Left Wing,682,9,2.321590105004322,0.3063681956750572,3.3314028759788488,0.43962794551040524,2.0
xT,142770,Emma Skou Færge,Left Back,286,5,0.9720945321828905,0.3059038737638467,0.9128083504261449,0.2872473830012344,0.0
xT,218511,Isabel Denise Rodriguez,Substitute,309,6,1.0494533155902075,0.305666014249575,1.1987495043542002,0.3491503410740389,2.0
xT,124907,Liston Colaco,Left Wing,564,7,1.8898886450428052,0.30157797527278807,2.5905446646545314,0.4133847869129571,2.0
xT,5064,Carson Pickett,Left Back,426,5,1.4137697402002825,0.29868374792963714,1.4483344388214172,0.3059861490467783,0.0
xT,21023,Amanda Nildén,Left Back,336,6,1.111746869974344,0.2977893401716993,1.337802683223039,0.3583400044347426,0.0
VAEP,192807,Victoria Dellaperuta,Center Forward,318,5,0.10123906872730498,0.02865256662093537,4.64517921602237,1.3146733630251992,6.0
VAEP,17033,Mohammed Kudus,Center Attacking Midfield,281,3,0.1978427495396835,0.06336600519064596,4.092684490868123,1.3108242141570503,4.0
VAEP,6677,Imanol Agirretxe Arruti,Center Forward,279,3,0.3774665624436592,0.12176340723989008,3.77498312672833,1.2177364924930096,5.0
VAEP,50151,Alba María Redondo Ferrer,Right Wing,647,9,0.6092147101335296,0.08474393185783255,7.3334904161747545,1.0201145864848964,9.0
VAEP,5503,Lionel Andrés Messi Cuccittini,Right Wing,582,6,2.0592106756726736,0.31843464056793924,6.536932943506184,1.0108659190988942,9.0
VAEP,5497,Gonzalo Gerardo Higuaín,Center Forward,855,10,1.083070619724598,0.11400743365522084,9.002095980207764,0.9475890505481858,12.0
VAEP,45641,Melania Martinovic,Substitute,316,6,0.21784097994598695,0.06204331707322413,3.325013650493929,0.9469975586849797,5.0
VAEP,63424,Nikola Karczewska,Center Forward,381,6,0.05530402986872805,0.013063944063479067,3.977153719140915,0.939485130505728,5.0
VAEP,32225,Caroline Møller Hansen,Center Forward,545,9,0.3113170200948413,0.05141015010740498,5.5144961592708714,0.9106507418979422,7.0
VAEP,87186,Synne Jensen,Right Wing,563,8,0.3137302275448198,0.05015225662350583,5.36322598712286,0.857354065437047,6.0
VAEP,5207,Cristiano Ronaldo dos Santos Aveiro,Left Wing,724,8,0.8723493265941963,0.10844121463187523,6.865715778045411,0.8534729558343743,12.0
VAEP,10386,Caroline Graham Hansen,Right Wing,1009,12,5.991932738025333,0.5344637724700495,9.3686632272624,0.835658761599223,15.0
VAEP,15284,Aitana Bonmati Conca,Right Center Midfield,1142,14,2.0485987022747363,0.16144823397962021,10.042157100169105,0.791413431712101,9.0
VAEP,7456,Diego Perotti,Center Attacking Midfield,274,5,0.7707440659194259,0.25316410924360705,2.3964684941406595,0.7871611842067859,4.0
VAEP,3009,Kylian Mbappé Lottin,Substitute,337,7,0.8091565976633925,0.2160952337973452,2.947364853444393,0.7871300795548823,3.0
VAEP,3501,Philippe Coutinho Correia,Left Wing,434,5,1.132757398834086,0.23490360805315147,3.768122767017223,0.7814079470773043,3.0
VAEP,3535,Roberto Firmino Barbosa de Oliveira,Substitute,390,7,0.16098312738030535,0.03714995247237816,3.299656305167824,0.7614591473464211,5.0
VAEP,3237,Sergio Leonel Agüero del Castillo,Center Forward,734,9,1.3894330186557189,0.17036644642917534,6.022406710895689,0.7384422397556022,7.0
VAEP,31532,Kirsty Hanson,Left Wing,503,6,1.8722026164141898,0.33498655164468605,4.0126853998954175,0.7179755188679674,6.0
VAEP,3337,Jermain Defoe,Center Forward,408,5,0.10184656846255499,0.02246615480791654,3.2461505006212974,0.7160626104311686,4.0
