type,n,xt_mean,xt_nonnull,vaep_mean,vaep_abs_mean
bad_touch,23184,,0.0,-0.01317095925754773,0.013492481475544122
clearance,36096,,0.0,-0.0027305173829651466,0.010984147730292939
corner_crossed,5943,,0.0,-0.006518136370357457,0.0330571317390794
corner_short,1425,,0.0,-0.021817827097503795,0.02544907410056199
cross,16529,0.08469481297037862,0.290519692661383,0.018228358820680926,0.03249907845687087
dribble,588375,0.0007173637286675861,1.0,0.0015867944837971307,0.004854070356759854
foul,20479,,0.0,-0.015985240604855636,0.0169622800773021
freekick_crossed,9635,,0.0,0.012115417003499772,0.012732513524036971
freekick_short,10162,,0.0,0.003350305693176347,0.005343342021575443
goalkick,12197,,0.0,0.000616186343847881,0.0024202615490344043
interception,23382,,0.0,-0.0005136630871018489,0.005296490214009736
keeper_claim,3370,,0.0,0.009385376566067926,0.010143674640111053
keeper_punch,1116,,0.0,-0.01183839161824193,0.0251285779540987
keeper_save,4418,,0.0,0.001037452456007978,0.03717229671453057
pass,621352,0.001272070578789332,0.7903845163450025,5.8605657900704197e-05,0.005533562042829588
shot,18298,,0.0,0.05619010953095827,0.12078918884600691
shot_freekick,733,,0.0,0.07418056259176022,0.07418229260031162
shot_penalty,228,,0.0,-0.026536833530205143,0.29004951554810887
tackle,29503,,0.0,0.008166115276269209,0.01090594105988204
take_on,24672,,0.0,0.0015714929085789344,0.013226212313538108
throw_in,35794,,0.0,0.002656525950218701,0.003921259637352512
