model,n_games,spearman_mean,spearman_std,top_k_overlap_mean,top_k_overlap_std,median_rank_shift_mean,median_rank_shift_std,nz_frac_sparse,nz_median,xt_iterations,vaep_scores_auc,vaep_scores_brier,vaep_concedes_auc,vaep_concedes_brier
vaep,8,0.2361,0.1527,0.06,0.0822,533.8,87.9955,0.0333,134.2,55.4,0.63,0.0108,0.6166,0.0024
vaep,16,0.6125,0.0727,0.56,0.1084,323.5,44.7465,0.0,289.3,56.8,0.6714,0.0101,0.6821,0.0024
vaep,32,0.7751,0.028,0.69,0.0822,227.3,18.1232,0.0,557.2,55.2,0.703,0.0096,0.6897,0.0024
vaep,64,0.8638,0.0058,0.77,0.057,171.9,4.5607,0.0,1097.7,55.6,0.7256,0.0094,0.7011,0.0024
vaep,128,0.9063,0.0061,0.85,0.0354,138.9,5.8138,0.0,2178.9,54.0,0.7383,0.0093,0.7248,0.0024
vaep,256,0.9419,0.0051,0.88,0.057,104.4,4.2042,0.0,4360.8,55.2,0.7571,0.0093,0.7526,0.0024
vaep,512,0.9646,0.0025,0.91,0.0224,80.5,4.0311,0.0,8754.3,55.0,0.7674,0.0092,0.7654,0.0024
vaep,1024,0.9755,0.0019,0.93,0.0274,66.2,3.1937,0.0,17331.1,54.8,0.7736,0.0092,0.775,0.0024
vaep,2048,0.9886,0.0014,0.92,0.0447,44.2,2.7749,0.0,34606.8,55.0,0.7772,0.0092,0.7825,0.0023
xt,8,0.9208,0.0535,0.59,0.0652,116.8,42.3388,0.0333,134.2,55.4,0.63,0.0108,0.6166,0.0024
xt,16,0.9776,0.0114,0.75,0.0791,63.9,15.7892,0.0,289.3,56.8,0.6714,0.0101,0.6821,0.0024
xt,32,0.9867,0.006,0.82,0.0758,45.0,6.2849,0.0,557.2,55.2,0.703,0.0096,0.6897,0.0024
xt,64,0.9908,0.0048,0.85,0.0791,37.6,9.2087,0.0,1097.7,55.6,0.7256,0.0094,0.7011,0.0024
xt,128,0.9942,0.0015,0.87,0.057,30.2,6.0992,0.0,2178.9,54.0,0.7383,0.0093,0.7248,0.0024
xt,256,0.9982,0.0005,0.92,0.0447,17.4,3.5249,0.0,4360.8,55.2,0.7571,0.0093,0.7526,0.0024
xt,512,0.9994,0.0003,0.97,0.0274,10.0,2.3452,0.0,8754.3,55.0,0.7674,0.0092,0.7654,0.0024
xt,1024,0.9997,0.0001,1.0,0.0,7.2,1.6432,0.0,17331.1,54.8,0.7736,0.0092,0.775,0.0024
xt,2048,1.0,0.0,1.0,0.0,1.8,0.4472,0.0,34606.8,55.0,0.7772,0.0092,0.7825,0.0023
